# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Jun 16 09:22:14 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_dens,pl_orbeccen,pl_eqt,ttv_flag,st_teff,st_mass,st_age,ra,dec,sy_dist
HD 30177 c,HD 30177,1,1,2,Radial Velocity,2016,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,12085.45186000,10.258000,,,1954.64470,,0.039000,,0,,0.98,,70.4770964,-58.0208085,55.5867000
HD 30562 b,HD 30562,1,1,1,Radial Velocity,2009,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,1157.00000000,2.340000,,,387.75260,,0.760000,,0,5882.00,1.12,,72.1529519,-5.6751152,26.1597000
HD 30669 b,HD 30669,1,1,1,Radial Velocity,2014,<a refstr=MOUTOU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..48M/abstract target=ref>Moutou et al. 2015</a>,1684.00000000,2.690000,,,149.37000,,0.180000,,0,5400.00,0.92,4.800,72.1198522,-28.4190757,58.0844000
HD 30856 b,HD 30856,1,2,1,Radial Velocity,2011,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,847.00000000,1.850000,,,491.68301,,0.061000,,0,4895.00,1.17,,72.5745099,-24.3689282,131.1990000
HD 31253 b,HD 31253,1,1,1,Radial Velocity,2010,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,466.00000000,1.260000,,,197.05460,,0.300000,,0,6130.00,1.70,,73.6822877,12.3520103,58.1438000
HD 31527 b,HD 31527,1,1,3,Radial Velocity,2019,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,16.55350000,0.125400,,,10.47000,,0.100000,,0,5898.00,0.96,,73.9096193,-23.2413163,38.4473000
HD 31527 c,HD 31527,1,1,3,Radial Velocity,2019,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,51.20530000,0.266300,,,14.16000,,0.040000,,0,5898.00,0.96,,73.9096193,-23.2413163,38.4473000
HD 31527 d,HD 31527,1,1,3,Radial Velocity,2019,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,271.67370000,0.809800,,,11.82000,,0.240000,,0,5898.00,0.96,,73.9096193,-23.2413163,38.4473000
HD 3167 b,HD 3167,1,1,4,Transit,2016,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,0.95964100,0.017960,1.670,0.149,4.97000,5.60000,0.000000,1774,0,5261.00,0.84,7.800,8.7401487,4.3807215,47.2899000
HD 3167 c,HD 3167,1,1,4,Transit,2016,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,29.84540000,0.177600,3.000,0.268,11.13000,2.11000,0.060000,564,0,5261.00,0.84,7.800,8.7401487,4.3807215,47.2899000
HD 3167 d,HD 3167,1,1,4,Radial Velocity,2017,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,8.41120000,0.076300,,,4.33000,,0.120000,,0,5261.00,0.84,7.800,8.7401487,4.3807215,47.2899000
HD 3167 e,HD 3167,1,1,4,Radial Velocity,2022,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,96.63000000,0.388500,,,8.41000,,0.150000,,0,5261.00,0.84,7.800,8.7401487,4.3807215,47.2899000
HD 32518 b,HD 32518,1,1,1,Radial Velocity,2009,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,157.35000000,0.594000,,,905.49313,,0.028000,,0,4580.00,1.13,5.830,77.4037569,69.6391355,122.1150000
HD 32963 b,HD 32963,1,1,1,Radial Velocity,2015,<a refstr=ROWAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...817..104R/abstract target=ref>Rowan et al. 2016</a>,2372.00000000,3.410000,,,222.48100,,0.070000,,0,5727.00,0.94,4.990,76.9820146,26.3276805,38.0786000
HD 330075 b,HD 330075,1,1,1,Radial Velocity,2004,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.38773000,0.040000,,,152.55840,,0.000000,,0,5000.00,0.47,,237.4054997,-49.9639199,45.2989000
HD 331093 b,HD 331093,1,1,1,Radial Velocity,2021,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..11D/abstract target=ref>Dalal et al. 2021</a>,621.62000000,1.440000,,,476.74261,,0.590000,,0,5544.00,1.03,,295.6200054,31.7395451,50.1928000
HD 33142 b,HD 33142,1,1,3,Radial Velocity,2011,<a refstr=TRIFONOV_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220603899T/abstract target=ref>Trifonov et al. 2022</a>,330.00000000,1.074000,,,400.46379,,0.049000,,0,5025.40,1.52,2.720,76.8980559,-13.9863374,121.3750000
HD 33142 c,HD 33142,1,1,3,Radial Velocity,2018,<a refstr=TRIFONOV_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220603899T/abstract target=ref>Trifonov et al. 2022</a>,810.20000000,1.955000,,,282.86728,,0.081000,,0,5025.40,1.52,2.720,76.8980559,-13.9863374,121.3750000
HD 33142 d,HD 33142,1,1,3,Radial Velocity,2022,<a refstr=TRIFONOV_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220603899T/abstract target=ref>Trifonov et al. 2022</a>,89.90000000,0.452000,,,63.56568,,0.191000,,0,5025.40,1.52,2.720,76.8980559,-13.9863374,121.3750000
HD 332231 b,HD 332231,1,1,1,Transit,2020,<a refstr=DALBA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..241D/abstract target=ref>Dalba et al. 2020</a>,18.71204000,0.143600,9.718,0.867,77.55052,0.46400,0.032000,876,0,6089.00,1.13,4.300,306.7411340,33.7443882,80.6665000
HD 33283 b,HD 33283,1,2,1,Radial Velocity,2006,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,18.19910000,0.150800,,,104.56607,,0.399000,,0,5935.00,1.38,3.630,77.0044889,-26.7976689,89.8623000
HD 33564 b,HD 33564,1,1,1,Radial Velocity,2005,<a refstr=GALLAND_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005A&A...444L..21G/abstract target=ref> Galland et al. 2005 </a>,388.00000000,1.100000,,,2892.10000,,0.340000,,0,6250.00,1.25,3.000,80.6378979,79.2318488,20.9531000
HD 33844 b,HD 33844,1,1,2,Radial Velocity,2015,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,551.40002000,1.600000,,,638.83830,,0.150000,,0,4861.00,1.84,,78.1505649,-14.9509775,105.7790000
HD 33844 c,HD 33844,1,1,2,Radial Velocity,2015,<a refstr=WITTENMYER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...818...35W/abstract target=ref>Wittenmyer et al. 2016</a>,916.00000000,2.240000,,,556.20250,,0.130000,,0,4861.00,1.78,1.880,78.1505649,-14.9509775,105.7790000
HD 34445 b,HD 34445,1,1,6,Radial Velocity,2009,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,1049.00000000,2.070000,,,260.62060,,0.270000,,0,5879.00,1.14,,79.4207483,7.3527156,46.0907000
HD 34445 c,HD 34445,1,1,6,Radial Velocity,2017,<a refstr=VOGT_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..181V/abstract target=ref>Vogt et al. 2017</a>,214.67000000,0.718100,,,53.50000,,0.036000,,0,5836.00,1.07,8.500,79.4207483,7.3527156,46.0907000
HD 34445 d,HD 34445,1,1,6,Radial Velocity,2017,<a refstr=VOGT_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..181V/abstract target=ref>Vogt et al. 2017</a>,117.87000000,0.481700,,,30.70000,,0.027000,,0,5836.00,1.07,8.500,79.4207483,7.3527156,46.0907000
HD 34445 e,HD 34445,1,1,6,Radial Velocity,2017,<a refstr=VOGT_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..181V/abstract target=ref>Vogt et al. 2017</a>,49.17500000,0.268700,,,16.80000,,0.090000,,0,5836.00,1.07,8.500,79.4207483,7.3527156,46.0907000
HD 34445 f,HD 34445,1,1,6,Radial Velocity,2017,<a refstr=VOGT_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..181V/abstract target=ref>Vogt et al. 2017</a>,676.80000000,1.543000,,,37.90000,,0.031000,,0,5836.00,1.07,8.500,79.4207483,7.3527156,46.0907000
HD 34445 g,HD 34445,1,1,6,Radial Velocity,2017,<a refstr=VOGT_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..181V/abstract target=ref>Vogt et al. 2017</a>,5700.00000000,6.360000,,,120.60000,,0.032000,,0,5836.00,1.07,8.500,79.4207483,7.3527156,46.0907000
HD 35759 b,HD 35759,1,1,1,Radial Velocity,2016,<a refstr=H_EACUTE_BRARD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A.145H/abstract target=ref>H&eacute;brard et al. 2016</a>,82.46700000,0.389000,,,1195.04080,,0.389000,,0,6060.00,1.15,,82.8886636,64.3183753,71.2423000
HD 360 b,HD 360,1,1,1,Radial Velocity,2021,<a refstr=TENG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PASJ..tmp..128T/abstract target=ref>Teng et al. 2021</a>,273.10000000,0.980000,,,238.37131,,0.139000,,0,4770.00,1.69,,2.0729030,-8.8242618,111.5420000
HD 36384 b,HD 36384,1,1,1,Radial Velocity,2023,<a refstr=LEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805994L/abstract target=ref>Lee et al. 2023</a>,490.00000000,1.300000,,,2097.66749,,0.200000,,0,3940.00,1.14,0.113,84.9319998,75.0439884,209.3090000
HD 3651 b,HD 3651,1,1,1,Radial Velocity,2003,<a refstr=WITTENMYER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.5859W/abstract target=ref>Wittenmyer et al. 2019</a>,62.25000000,0.295000,,,72.46524,,0.645000,,0,5221.00,0.80,,9.8387218,21.2488844,11.1336000
HD 37124 b,HD 37124,1,1,3,Radial Velocity,2002,<a refstr=WRIGHT_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...730...93W/abstract target=ref>Wright et al. 2011</a>,154.37800000,0.533640,,,214.53525,,0.054000,,0,,0.85,,84.2599947,20.7289784,31.6634000
HD 37124 c,HD 37124,1,1,3,Radial Velocity,2002,<a refstr=WRIGHT_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...730...93W/abstract target=ref>Wright et al. 2011</a>,885.50000000,1.710000,,,207.22516,,0.125000,,0,,0.85,,84.2599947,20.7289784,31.6634000
HD 37124 d,HD 37124,1,1,3,Radial Velocity,2005,<a refstr=WRIGHT_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...730...93W/abstract target=ref>Wright et al. 2011</a>,1862.00000000,2.807000,,,221.20968,,0.160000,,0,,0.85,,84.2599947,20.7289784,31.6634000
HD 37605 b,HD 37605,1,1,2,Radial Velocity,2004,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,55.01292000,0.277000,,,854.96270,,0.674500,,0,5329.00,0.94,5.650,85.0074276,6.0595116,46.7864000
HD 37605 c,HD 37605,1,1,2,Radial Velocity,2012,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,2720.00000000,3.740000,,,1013.87770,,0.030000,,0,5329.00,0.94,5.650,85.0074276,6.0595116,46.7864000
HD 3765 b,HD 3765,1,1,1,Radial Velocity,2021,<a refstr=ROSENTHAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021ApJS..255....8R/abstract target=ref>Rosenthal et al. 2021</a>,1211.00000000,2.108000,,,54.98431,,0.298000,,0,5049.80,0.85,,10.2072994,40.1842918,17.9260000
HD 38283 b,HD 38283,1,1,1,Radial Velocity,2010,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,363.20001000,1.020000,,,127.13200,,0.410000,,0,5981.00,1.37,,84.2605324,-73.6998131,38.0615000
HD 38529 b,HD 38529,1,2,2,Radial Velocity,2000,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,14.30990000,0.115000,,,206.58846,,0.256000,,0,,0.98,,86.6451363,1.1675866,42.3538000
HD 38529 c,HD 38529,1,2,2,Radial Velocity,2000,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,2127.60566000,3.226000,,,3299.05886,,0.357000,,0,,0.98,,86.6451363,1.1675866,42.3538000
HD 38801 b,HD 38801,1,1,1,Radial Velocity,2009,<a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>,685.25000000,1.623000,,,3082.31534,,0.017000,,0,5338.00,1.21,6.072,86.9963141,-8.3280256,91.4349000
HD 39091 b,HD 39091,1,1,3,Radial Velocity,2001,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,2088.75851000,3.311000,,,3917.23512,,0.642000,,0,,1.10,,84.2992798,-80.4646041,18.2702000
HD 39194 b,HD 39194,1,1,3,Radial Velocity,2021,<a refstr=UNGER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A.104U/abstract target=ref>Unger et al. 2021</a>,5.63680000,0.056000,,,4.00000,,0.207000,,0,5205.00,0.67,10.000,86.1290710,-70.1382377,26.4131000
HD 39194 c,HD 39194,1,1,3,Radial Velocity,2021,<a refstr=UNGER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A.104U/abstract target=ref>Unger et al. 2021</a>,14.03000000,0.103000,,,6.30000,,0.154000,,0,5205.00,0.67,10.000,86.1290710,-70.1382377,26.4131000
HD 39194 d,HD 39194,1,1,3,Radial Velocity,2021,<a refstr=UNGER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A.104U/abstract target=ref>Unger et al. 2021</a>,33.91000000,0.185000,,,4.00000,,0.333000,,0,5205.00,0.67,10.000,86.1290710,-70.1382377,26.4131000
HD 39855 b,HD 39855,1,1,1,Radial Velocity,2019,<a refstr=FENG_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..242...25F/abstract target=ref>Feng et al. 2019</a>,3.24980000,0.041000,,,8.50000,,0.140000,,0,5576.00,0.87,,88.6260731,-19.7044472,23.2599000
HD 40307 b,HD 40307,1,1,5,Radial Velocity,2009,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>,4.31230000,0.046800,,,4.00000,,0.200000,,0,4956.00,0.77,4.500,88.5172191,-60.0237289,12.9363000
HD 40307 c,HD 40307,1,1,5,Radial Velocity,2009,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>,9.61840000,0.079900,,,6.60000,,0.060000,,0,4956.00,0.77,4.500,88.5172191,-60.0237289,12.9363000
HD 40307 d,HD 40307,1,1,5,Radial Velocity,2009,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>,20.43200000,0.132100,,,9.50000,,0.070000,,0,4956.00,0.77,4.500,88.5172191,-60.0237289,12.9363000
HD 40307 f,HD 40307,1,1,5,Radial Velocity,2013,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>,51.76000000,0.247000,,,5.20000,,0.020000,,0,4956.00,0.77,4.500,88.5172191,-60.0237289,12.9363000
HD 40307 g,HD 40307,1,1,5,Radial Velocity,2013,<a refstr=TUOMI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...549A..48T/abstract target=ref> Tuomi et al. 2013 </a>,197.80000000,0.600000,,,7.10000,,0.290000,,0,4956.00,0.77,4.500,88.5172191,-60.0237289,12.9363000
HD 40956 b,HD 40956,1,1,1,Radial Velocity,2017,<a refstr=JEONG_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...610A...3J/abstract target=ref>Jeong et al. 2018</a>,578.60000000,1.400000,,,858.14100,,0.240000,,0,4869.00,2.00,1.350,91.6628015,63.4538750,116.5930000
HD 40979 b,HD 40979,1,3,1,Radial Velocity,2002,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,264.14999000,0.850000,,,1484.26610,,0.250000,,0,6165.00,1.45,,91.1253346,44.2597855,34.0883000
HD 41004 A b,HD 41004 A,1,2,2,Radial Velocity,2004,<a refstr=ZUCKER_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...426..695Z/abstract target=ref> Zucker et al. 2004 </a>,963.00000000,,,,807.25000,,0.740000,,0,,,,89.9566041,-48.2394189,36.6911700
HD 41004 B b,HD 41004 B,1,2,2,Radial Velocity,2003,<a refstr=ZUCKER_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...426..695Z/abstract target=ref> Zucker et al. 2004 </a>,1.32830000,,,,5838.29000,,0.081000,,0,,0.40,,89.9565956,-48.2394114,41.5504000
HD 4113 b,HD 4113,1,3,1,Radial Velocity,2007,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,526.52390000,1.280000,,,541.26178,,0.899000,,0,,1.01,,10.8027515,-37.9831248,41.8727000
HD 42012 b,HD 42012,1,1,1,Radial Velocity,2017,<a refstr=REY_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...601A...9R/abstract target=ref>Rey et al. 2017</a>,857.50000000,1.670000,,,508.52800,,0.200000,,0,5405.00,0.83,4.100,92.4854730,34.1341722,36.7984000
HD 4203 b,HD 4203,1,1,2,Radial Velocity,2001,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,431.88000000,1.170000,,,708.76090,,0.520000,,0,5596.00,1.25,,11.1722288,20.4483925,81.3795000
HD 4203 c,HD 4203,1,1,2,Radial Velocity,2014,<a refstr=KANE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785...93K/abstract target=ref> Kane et al. 2014 </a>,6700.00000000,6.950000,,,689.66000,,0.240000,,0,5582.00,0.99,,11.1722288,20.4483925,81.3795000
HD 4208 b,HD 4208,1,1,1,Radial Velocity,2001,<a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>,832.97000000,1.662000,,,257.44230,,0.042000,,0,5717.00,0.88,3.813,11.1125532,-26.5150392,34.1937000
HD 42618 b,HD 42618,1,1,1,Radial Velocity,2016,<a refstr=FULTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...46F/abstract target=ref>Fulton et al. 2016</a>,149.61000000,0.554000,,,14.40000,,0.190000,337,0,5727.00,1.01,,93.0032173,6.7819742,24.3358000
HD 4308 b,HD 4308,1,1,1,Radial Velocity,2005,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,15.56000000,0.120000,,,15.89150,,0.000000,,0,5686.00,0.93,,11.1652594,-65.6527159,22.0158000
HD 4313 b,HD 4313,1,1,1,Radial Velocity,2009,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,356.21000000,1.157000,,,612.45841,,0.147000,,0,4943.00,1.63,,11.4181301,7.8450492,136.3080000
HD 43197 b,HD 43197,1,1,2,Radial Velocity,2010,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,308.92072000,0.882000,,,175.75911,,0.742000,,0,,0.96,,93.3993231,-29.8971929,62.4112000
HD 43197 c,HD 43197,1,1,2,Radial Velocity,2022,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,9295.97350000,8.540000,,,2500.67391,,0.149000,,0,,0.96,,93.3993231,-29.8971929,62.4112000
HD 43691 b,HD 43691,1,3,1,Radial Velocity,2007,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,36.99870000,0.238000,,,810.46650,,0.079600,,0,6093.00,1.32,2.390,94.8946124,41.0920773,85.6009000
HD 44219 b,HD 44219,1,1,1,Radial Velocity,2010,<a refstr=PHILIPOT_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805417P/abstract target=ref>Philipot et al. 2023</a>,472.00000000,1.260000,,,184.34048,,0.410000,,0,,1.20,8.400,95.0599971,-10.7250799,52.9051000
HD 45184 b,HD 45184,1,1,2,Radial Velocity,2019,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,5.88540000,0.064400,,,12.19000,,0.070000,,0,5869.00,1.03,,96.1820205,-28.7806402,21.9532000
HD 45184 c,HD 45184,1,1,2,Radial Velocity,2019,<a refstr=UDRY_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...622A..37U/abstract target=ref>Udry et al. 2019</a>,13.13540000,0.110000,,,8.81000,,0.070000,,0,5869.00,1.03,,96.1820205,-28.7806402,21.9532000
HD 45350 b,HD 45350,1,1,1,Radial Velocity,2004,<a refstr=WITTENMYER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007AJ....134.1276W/abstract target=ref> Wittenmyer et al. 2007 </a>,963.60000000,1.920000,,,568.89000,,0.778000,,0,5566.00,0.98,,97.1902262,38.9627315,46.8733000
HD 45364 b,HD 45364,1,1,2,Radial Velocity,2008,<a refstr=LI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..163L/abstract target=ref>Li et al. 2022</a>,225.79000000,0.679300,,,60.16492,,0.067000,,0,5466.00,0.82,,96.4105736,-31.4810037,34.3540000
HD 45364 c,HD 45364,1,1,2,Radial Velocity,2008,<a refstr=LI_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..163L/abstract target=ref>Li et al. 2022</a>,345.43000000,0.902000,,,174.48780,,0.019000,,0,5466.00,0.82,,96.4105736,-31.4810037,34.3540000
HD 45652 b,HD 45652,1,1,1,Radial Velocity,2008,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>,44.07300000,0.237000,,,137.62039,,0.607000,,0,5294.00,0.92,8.400,97.3058709,10.9336212,34.8541000
HD 457 b,HD 457,1,1,1,Radial Velocity,2022,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,20324.58153000,15.369000,,,8445.33643,,0.565000,,0,,1.15,,2.2492922,-39.7372401,55.0375000
HD 46375 b,HD 46375,1,2,1,Radial Velocity,2000,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>,3.02357300,0.039800,,,71.80000,,0.063000,,0,5285.00,0.92,,98.3030763,5.4625071,29.5529000
HD 47186 b,HD 47186,1,1,2,Radial Velocity,2008,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,4.08450000,0.050000,,,22.24810,,0.040000,,0,5657.00,0.96,,99.0367212,-27.6234285,37.4574000
HD 47186 c,HD 47186,1,1,2,Radial Velocity,2008,<a refstr=BOUCHY_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...496..527B/abstract target=ref> Bouchy et al. 2009 </a>,1353.60000000,2.395000,,,111.42000,,0.249000,,0,,,,99.0367212,-27.6234285,37.4574000
